,Type,Post
310,Introvert,-Increasing water intake to have an excuse to go to the bathroom and hide from everything 
311,Introvert,"-In middle school, I remember this time where a girl asked me what my name was so I shouted, Whatsittooya?"", like 5 times xD"
312,Introvert,When you're fine with quarantine lmao
313,Introvert,"1. In online dating, you're an online serial monogamist, because you can only deal with one person at a time."
314,Introvert,"2. In real life, you'd never cheat, because you can only deal with one person at a time."
315,Introvert,"3. You hate typical friendly questions about where you live, what you're eating, etc., because it will lead to more questions and you'll feel totally violated."
316,Introvert,When you let the thread about introversion die.
317,Introvert,"In a similar vein, when you're on a bus/plane and happen to be next to a talkative person. That, my friends, is the stuff of nightmares for me. I sit there dreading it."
318,Introvert,When you prefer a nice ~500 page book to going to an active and boisterous party.
319,Introvert,"When you think these lockdowns are absolutely horrible for society, but feel like such a relief for you."
320,Introvert,"When you can't survive without full, constant internet access."
321,Introvert,"you are going into your second online semester at uni and couldn't care less that it's all virtual. i understand that for some it really affects their ability to learn and study but seriously it's such a relief for me. most of my friends have big issues with it because they miss having contact with people in real time and not only through a screen... hmmm yes, but no thank you. i know being introverted doesn't equal being anti-social though it really comes together for me at times. i was also already told that 'my experience isn't universal' so yeah maybe i shouldn't be so happy about feeling more like myself than under regular circumstances."
322,Introvert,1 (one) imposter detected ^^ it's true though... damn it you're good
323,Introvert,"Well it's not like I can't relate, especially amongst very extroverted people, hahah. Except I'd probably prefer to watch a movie or documentary instead. "
324,Introvert,"hehe sure why not, it was really about the way you phrased it. 'boisterous' fine addition to my vocabulary collection imagine general grievous meme here i was too lazy to dig out"
325,Introvert,good movie to watch while ditching the next party: Interstellar (if you haven't watched it yet)
326,Introvert,"Ah, well I find that introverts don't like boisterous activities, or they just sit back and enjoy watching the chaotic scene unfold. Also, I try not to ditch parties. I'll check out Interstellar some time though, although I'll have to watch that alone as I doubt my family would want to watch an apocalyptic film together."
327,Introvert,"watching the chaos unfold <- definitely me. did i contribute something to it? maybe... reminds me a lot of my senior year in high school. my english teacher couldn't teach for the life of him and so there were constantly at least 3 different conversations going on in one lesson. him trying to teach, one corner debating about the class trip and some others having random conversations. it was truly amazing at times but i would have enjoyed learning something in his class."
328,Introvert,"hm, yes i know what you mean, it is about that balance of ditching every 2nd or 3rd ^^ just not too often"
329,Introvert,"Right, high school classes when the teacher won't quiet everyone or doesn't care enough to teach it well, hahah. Also yeah, ditching too many parties can get you not invited or disinvited, so it's best to not skip out on too many. Hahah. Oh cool, I'll check it out then, my wife and kids like sci-fi as much as I do. "
330,Introvert,"nice, if you do and remember let me know what you thought of it. i watched it in summer and still think about it a lot."
331,Introvert,You know you're an introvert when you'd rather wait in your room hungry than go in the kitchen while others are there.
332,Introvert,You know you're an introverted when you literally have a mental breakdown late at night (and its VERY rare when this happens) for 15 minutes just because you're gonna be forced to socialize with people because you're going back to school. And im highkey embarrassed.
333,Introvert,"-In middle school, I remember this time where a girl asked me what my name was so I shouted, Whatsittooya?"", like 5 times xD"
334,Introvert,You prefer the quarantine.
335,Introvert,You relate to this:
336,Introvert,when a single dose of some talky person on a friday night robs you of half your weekend.
337,Introvert,"i used to go lift at this small 'club' on friday evenings. i actually really enjoyed most of the conversations that would spring up over a session - and most of the time i didn't have any trouble just blanking it out if i needed to. but every so often mr hyper-social would get on a particular roll, and then it could literally take until late on the following day before i started to feel like i was normal again. "
338,Introvert,"i loved him to bits. and tbf he was pretty amenable to being asked to please shut the fucking-fuck up. but it's not like i go around demanding silence wherever i go . . . so typically, by the time i did ask him to please just shut up the damage would already be thoroughly done. the intro/extra problem is real, for both sides."
339,Introvert,"Will do when I reactivate my Netflix account and have a reason to sign up for Disney+. 😄 Reading the plot for a bit, it doesn't sound like a movie I'd watch on a whim and certainly not something I'd want my family to watch. 🙂"
340,Introvert,"oh sorry, i hadn't had in mind that your children might be younger and somehow assumed 12 yo or something... and uplifting was more meant for the ending, which i won't spoil but is actually very clever. so yeah not the best feel good movie but no apocalyptic 2012 feeling either. just wanted to make that clear as it otherwise really seems as if i have a weirdly warped understanding of what a nice family movie is haha"
341,Introvert,"anyway, i'd say there isn't really any benefit for disney+ at the moment or ever. the up coming wandvison series might be, if you're interested in x-men lore but apart from that it's really not worth it."
342,Introvert,
343,Introvert,When your sleep schedule is all out of wack and night owl sets in.
344,Introvert,when you plot your daily people interactions in a way that minimizes your daily people interactions
345,Introvert,when you go out to exercise late at night just to avoid bumping into any1
346,Introvert,When you actually like wearing Covid masks because it hides your face.
347,Introvert,When you actually like wearing Covid masks because it hides your face.
348,Introvert,"You have been assigned by the U.S. Forest Service to watch for forest fires in an isolated, remote and uninhabited location. While in your tower watching for fires you unexpectedly see someone. Your response is one of anger and great personal violation. The feeling of violation eases somewhat over the next minute or two. The anger remains. You are rather deeply offended by the presence of this unwelcome intruder."
349,Introvert,"You have been assigned by the U.S. Forest Service to watch for forest fires in an isolated, remote and uninhabited location. While in your tower watching for fires you unexpectedly see someone. Your response is one of anger and great personal violation. The feeling of violation eases somewhat over the next minute or two. The anger remains. You are rather deeply offended by the presence of this unwelcome intruder."
350,Introvert,"ive always wondered how do you get one of those jobs, whats your background?"
351,Introvert,"You wanna yell to people who wanna drag you out for a walk, because it's so mentally unhealthy to sit in the house, alone, all by your self, poor thing"
352,Introvert,"@patrick-the-real-one About 5 years ago I knew someone who worked in a fire tower every year. I was interested, but ended up not applying. According to this website they're hiring for next year. This is in Canada, but maybe they have similar in your country."
353,Introvert,"You wanna yell to people who wanna drag you out for a walk, because it's so mentally unhealthy to sit in the house, alone, all by your self, poor thing"
354,Introvert,You probably don't mind being alone for a month.
355,Introvert,"When I cry I hold in my tears, run, and proceed to find a room and hide under the blankets then let everything out."
356,Introvert,Bonus- Dehydration sets in but I'm afraid and feel too vulnerable to go out and get a drink because people will see my red rimmed eyes and tear tracks and ask questions that I'm too drained to properly answer.
357,Introvert,You can stay one week alone with no problems.
358,Introvert,u dont like night walks? i find the air smells wornderful during night time. plus ev ery1s at home so no1 to bother u on the street
359,Introvert,"When you take a longer route to your destination, if you think you will cross less people."
360,Introvert,You can stay one week alone with no problems.
361,Introvert,"I normally feel like seeing someone everyday, specially family members, but not so much most other people."
362,Introvert,"I can also hang out with a lot of people I know without talking too much. Just for example, sit in the same room with some activity like reading books."
363,Introvert,But I like to chat with people online for some reason.
364,Introvert,"I meet my friends once or twice a month, some of them want more then that, maybe like every other day, but I can't handle it, I get exhausted, and feel bad for it."
365,Introvert,You'd rather operate in the background than in the spotlight.
366,Introvert,You hold back your punch lines from actually saying them but have a secret laugh somewhere in that cobwebbed brain of yours! 
367,Introvert,"you're kinda liking this new normal, you know aside from the anxiety about people you love getting horribly ill. And you're really rather dreading when people start their post-quarantine onslaught of invitations and you're going to be expected to return to work/school/public gatherings. "
368,Introvert,"You had a lovely solitary holiday, where you were able to just relax and enjoy yourself, no obligatory parties or extra house guests."
369,Introvert,When you stay often in your room. When you often avoid people with your device.
370,Introvert,"To be considered, Shyness is different from Social Anxiety different from Introversion."
371,Introvert,Introversion means a tendency to the inner world. And you require less interaction.
372,Introvert,Shyness means you are uncomfortable around people. And that you are hesitant to say or behave something.
373,Introvert,You social distanced before it was cool. 
374,Introvert,It's the middle of the school year and the teacher still doesn't know your name (and you don't care). 
375,Introvert,"You get flustered when you hear (esp from a high-energy ENFJ, and often times someone who has the power to fire you) something about working together as a team, team unity, social cohesion, community collaboration...team players, and so on. It's time to muster up the Fe which can be draining. "
376,Introvert,"You are most likely to hang out in the back of everything and the least likely to show up in a picture...""Was Joey there?""....... ""You know, I don't remember, I don't recall. ..I don't see him in any of the pictures"". ""He might have been there...I remember he was invited"" hmmm"
377,Extravert,When it's hard for you to shut up your mouth.
378,Extravert,No.
379,Extravert,(Oh look there's no character minimum anymore so I didn't even need to write this)
380,Extravert,Troll alert
381,Extravert,"LOL yeah, I see what she did there. Either way the thread goes, the OP wins. The only thing left is to make the inevitable downfall more interesting and informative "
382,Extravert,"LOL yeah, I see what she did there. Either way the thread goes, the OP wins. The only thing left is to make the inevitable downfall more interesting and informative "
383,Extravert,"Some people talk, because they have a lot to talk about."
384,Extravert,"Others talk, because it makes them uncomfortable being quiet."
385,Extravert,"You can't go 24 hours without affirmation, and God forbid it comes from an introvert."
386,Extravert,You can't spend all day inside
387,Extravert,"Your dominant function is extroverted, the same with your tertiary "
388,Extravert,You talk to inanimate objects and animals when you're alone
389,Extravert,inb4lock...
390,Extravert,"You know the thing i find the most ironic in terms of PerC in itself is this. If you head over to the ENFP/TP forum, even the ESFP/ENTJ, you won't find masses and masses of data being exchanged. One liners, a few paragraphs here and there. The introverted forums explains everything in complete detail, they go on and on , sometimes repeating themselves over and over again. I can hardly get through reading all the blab, i find myself skipping every 10 lines and getting the jest of the whole thing. Basically Ne can sum up everything that needs to be said in a few lines, often 1. The sub forums are draining, introverts will use up pages in order to get a point across. So yeah, i have to wonder who really talks the most "
391,Extravert,You can't spend all day inside
392,Extravert,"Your dominant function is extroverted, the same with your tertiary "
393,Extravert,"I hate spending all day inside, and sometimes I talk to my cats. I'm not extroverted."
394,Extravert,"You talk to people you've just met, like you've known them for years!"
395,Extravert,you know when your the first one to talk when your with your introverted friends..
396,Extravert,When you find that one person who really clicks with you and all of a sudden you have to know EVERYTHING about them!!
397,Extravert,"You can't keep things inside of your head, and alot of the time ...when you think it, you say it before you can catch yourself."
398,Extravert,"You know the thing i find the most ironic in terms of PerC in itself is this. If you head over to the ENFP/TP forum, even the ESFP/ENTJ, you won't find masses and masses of data being exchanged. One liners, a few paragraphs here and there. The introverted forums explains everything in complete detail, they go on and on , sometimes repeating themselves over and over again. I can hardly get through reading all the blab, i find myself skipping every 10 lines and getting the jest of the whole thing. Basically Ne can sum up everything that needs to be said in a few lines, often 1. The sub forums are draining, introverts will use up pages in order to get a point across. So yeah, i have to wonder who really talks the most "
399,Extravert,@INTJellectual
400,Extravert,"I prefer to shut up and do stuff. Listening to others makes my eyes glaze over, unless they say something interesting. Then I listen. Silence is wonderful, but I often worry the other person dislikes it or thinks I dislike him/her if I don't talk."
401,Extravert,"I'm quiet 90% of the time and prefer it that way, probably gotten used to it through self isolation. :sad: thou the long periods of being by myself are effing depressing and draining. I prefer being with a specific person, she is a fun introvert and enough to keep me sane."
402,Extravert,@INTJellectual
403,Extravert,"I prefer to shut up and do stuff. Listening to others makes my eyes glaze over, unless they say something interesting. Then I listen. Silence is wonderful, but I often worry the other person dislikes it or thinks I dislike him/her if I don't talk."
404,Extravert,don't spend everytime inside your head?
405,Extravert,When you create something you're really proud of and feel the need to show EVERYONE YOU KNOW!!!!!
406,Extravert,"I'm not an extravert, but I would venture to guess that you know you're an extravert when you don't mind talking to strangers."
407,Extravert,You are an extrovert when you always want to initiate something.
408,Extravert,When the only thing that could possibly turn you into a moderate recluse.. Is family.
409,Extravert,Well.. Perhaps I'll be spending a bit more time on here. lol
410,Extravert,"When you accidentally steal attention of the entire party and you weren't really meaning to. All you were doing was being yourself, interested in people and their stories. "
411,Extravert,When being around others elevates your mood.
412,Extravert,When you love the night life.
413,Extravert,"Well-intended introvert: ""looks like you'll have another nice quiet day in with no distractions and no one to bother you and nothing that you need to do"" "
414,Extravert,"Extravert: ""Oh, ummm, how nice...."" (To self: HOW AM I GOING TO GET OUT OF HERE???)"
415,Extravert,"I'm not the most extroverted extrovert, but:"
416,Extravert,"When you can come up with just as many crazy theories and ideas about the world as an introvert, but you just HAVE to share them with your friends. :crazy:"
417,Extravert,"When the rational statements you make keep people talking, even when you weren't trying to do this (after all, you're good at putting things objectively, like you have some purpose in mind that you're sharing for others to help you unveil, even if this is far from true - after all, you haven't given away how subjectively interested you are in what you're talking about, so I guess people want to know?)."
418,Extravert,"Also, when people are quick to give you a response after you say something, like they know exactly what the next appropriate thing to say is."
419,Extravert,You can't spend all day inside
420,Extravert,"Your dominant function is extroverted, the same with your tertiary "
421,Extravert,When you notice you are not like introverts.
422,Extravert,When you're Russell Brand
423,Extravert,when you become drained when you are alone too long.
424,Extravert,"You know the thing i find the most ironic in terms of PerC in itself is this. If you head over to the ENFP/TP forum, even the ESFP/ENTJ, you won't find masses and masses of data being exchanged. One liners, a few paragraphs here and there. The introverted forums explains everything in complete detail, they go on and on , sometimes repeating themselves over and over again. I can hardly get through reading all the blab, i find myself skipping every 10 lines and getting the jest of the whole thing. Basically Ne can sum up everything that needs to be said in a few lines, often 1. The sub forums are draining, introverts will use up pages in order to get a point across. So yeah, i have to wonder who really talks the most "
425,Extravert,You want to be around other people even when you want to be alone.
426,Extravert,"Isn't it kind of funny then, that most INTJ's love ENTPs. In fact, it's considered an ideal match... I guess you like people who know how to use their mouths..."
427,Extravert,"I hate spending all day inside, and sometimes I talk to my cats. I'm not extroverted."
428,Extravert,"A reflective mood gets energized by suddenly telling stories of scars, bones or surgeries and everyone is laughing."
429,Extravert,You don't much care for cubicle work
430,Extravert,"You prefer to study in a group, but if you like the people in the group, they will not do you any good because socializing will then take priority over studying."
431,Extravert,"If after an exciting exchange of thoughts and ideas, you sometimes realize that it was not so much of an exchange as you talking, and someone pretending to listen or actually listening, depending on how interesting you are. And you never really know."
432,Extravert,"Perhaps you don't mind being at home alone for a while since there's always the internet, but after a few days, the weird anxiety kicks in. "
433,Extravert,"Your dominant function is extroverted, the same with your tertiary"
434,Extravert,"Just feeling like to talk, getting energized by it. Having a wide circle of friends. Pretty much a social butterfly and direct energy into the world, building their influence in the world."
435,Extravert,"Also, extroverts tend to be more socialized and develop more relationships than an introvert most of the time."
436,Extravert,You don't much care for cubicle work
437,Extravert,"You prefer to study in a group, but if you like the people in the group, they will not do you any good because socializing will then take priority over studying."
438,Extravert,"You know you're an extrovert when even though you're really shy and nervous and not required to at all, you still get up in front of the class to give a presentation that you didn't prepare for at all so you have to make up off the top of your head. Because you just really feel like standing up and talking to everyone."
439,Extravert,You can't spend all day inside
440,Extravert,"Your dominant function is extroverted, the same with your tertiary "
441,Extravert,"You think you're an introvert and you even try to chalk up to it, but prove yourself wrong when you find yourself starting conversations with strangers, and starting conversations in general... when you're quiet, but only 'cause you're zoned out. or don't have any particularly good thoughts at the moment (for more optimistic people who avoid spreading negativity). Sometimes I choose to be reserved because I don't want people to just count on me all the time to do everything. I hate that. Also when you like giving out food and stuff and smiling a lot and being hospitable and humorous. "
442,Extravert,When you run into another extravert and can't get a word in edgewise...
443,Extravert,you know you're an extrovert when you like paying attention to your senses ie the thrill of the party is a sensation type thing.. and you know you're an extrovert when you can read people's faces subconsciously and know their feeling ie feel it yourself - empathy. makes sense if you ask me and thus extrovert = sensing = feeling. they're all linked and part of one type. one side of the brain. that's why nf doesn't exist that's why i've never detected nf'ness in real life. 
444,Extravert,extroversion = sensation = feeling. introversion = thinking = intuition. the mbti is therefore wrong in it's dichotomies in life there is only ever 2 - 2 sides of the brain. of course alll the types exist in their aesthetic feel and self contained logic just like the starsign types. and as an intj i invite any argument against this - particularly from INTJellectual. 
445,Extravert,you know you're an extrovert when you like paying attention to your senses ie the thrill of the party is a sensation type thing.. and you know you're an extrovert when you can read people's faces subconsciously and know their feeling ie feel it yourself - empathy. makes sense if you ask me and thus extrovert = sensing = feeling. they're all linked and part of one type. one side of the brain. that's why nf doesn't exist that's why i've never detected nf'ness in real life. 
446,Extravert,extroversion = sensation = feeling. introversion = thinking = intuition. the mbti is therefore wrong in it's dichotomies in life there is only ever 2 - 2 sides of the brain. of course alll the types exist in their aesthetic feel and self contained logic just like the starsign types. and as an intj i invite any argument against this - particularly from INTJellectual. 
447,Extravert,When it's hard for you to shut up your mouth.
448,Extravert,When you walk around the house naked with the curtains open during rush hour!
449,Extravert,When you walk around the house naked with the curtains open during rush hour!
450,Extravert,"By your argument against the ontological value of NF, the ExTy types don't exist either. It is far more accurate to assess the introversion or extroversion of a personality based on cognitive functions - e.g. primary Ne for an ENTP will mean examining the world outside your mind and seeing where your intuition fits, or even what patterns you can detect. The N type mind doesn't look at things statically, and can even be blindsided by the simple at times. Moreover, the NF types depending on which NF type you're talking about can process primarily through intuition or through feeling, internally or externally, depending on their primary function as well. The NF can process an experience, and compare against some emotional abstraction which I'll fully admit to being incapable of understanding. In either case, just as with the NT types, they tend to live in a world above Plato's divided line, rather than an Aristotelian concrete world."
451,Extravert,you know you're an extrovert when you like paying attention to your senses ie the thrill of the party is a sensation type thing..
452,Extravert,"'Extraverted Sensation (Se). --- This is a function, and NOT being an extrovert. ---> extroversion is an attitude.'wowowo hold up i know how all the functions work how the mbti system works when i was describing extrovert thrill of hte party i was just using extrovert as it's meaning in plain english i don't there is a dichotomy of extroversion vs introversion as a root personality trait (merely a surface behavior that can be seen) so i know how extraverted sensation works (under the self contained logic of mbti that is).i know what the functions are etc i'm a noob here but i've been obsessed with mbti for like 7 years."
453,Extravert,"Extraverted Feeling (Fe). This is a function, and NOT being an extrovert. ---> extroversion is an attitude. "
454,Extravert,"if you're saying extroversion is an attitude in response to me using the phrase 'you know you're an extrovert when...' i don't know why because you're the one who created a thread titled 'you know you're an extrovert when...' yet you're saying no ones an extrovert it's just an attitude.. i know..i thought it was just semantics you, and then I, were using"
455,Extravert,"'But if you inspect it carefully in details it would divide into many parts, hence we produce the 16 personality types in MBTI. Of course NF do exists, if they don't, what about the ET types or the ST types?' - i've done a lot of inspection but if you think it works how would you explain the details. i thought the four archetypes were sp, sj, nt, nf not st, sf, or whatever. i know all of what you said already in the rest of that same paragraph. i wouldn't be arguing against mbti if i hadn't read and understood by it's own logic the system of mbti. "
456,Extravert,"'Extraverted Sensation (Se). --- This is a function, and NOT being an extrovert. ---> extroversion is an attitude.'wowowo hold up i know how all the functions work how the mbti system works when i was describing extrovert thrill of hte party i was just using extrovert as it's meaning in plain english i don't there is a dichotomy of extroversion vs introversion as a root personality trait (merely a surface behavior that can be seen) so i know how extraverted sensation works (under the self contained logic of mbti that is).i know what the functions are etc i'm a noob here but i've been obsessed with mbti for like 7 years."
457,Extravert,"Extraverted Feeling (Fe). This is a function, and NOT being an extrovert. ---> extroversion is an attitude. "
458,Extravert,7 years? seems like you just learned it yesterday 
459,Extravert,"extrovert - a person, extroversion- an attitude. I didn't say extrovert is an attitude, lol."
460,Extravert,please don't remark about what my argument seems like... 
461,Extravert,"'extrovert - a person, extroversion- an attitude. I didn't say extrovert is an attitude, lol' - reread i never said extrovert is an attitude. did you even read what i wrote or just skim over it because you don't even want to know if the mbti is wrong fundamentally? you've actually failed to understand what i was saying first by the phrase 'you know you're an extrovert when...' (YOUR OWN PHRASE) and then when i adressed your problems with that you seem to have literally seen a different word on the page to what's there... i'm not attacking you that's just all fact. "
462,Extravert,"... When you have to jump into a conversation with a story of your own, always."
463,Extravert,When you never run out of things to talk about.
464,Extravert,When you enjoy being around other extroverts but introverts get you down.
465,Extravert,When you just drive yourself crazy wondering what is going on inside a quiet friend's head!
466,Extravert,"Some people talk, because they have a lot to talk about."
467,Extravert,"Others talk, because it makes them uncomfortable being quiet."
468,Extravert,"Ha I used to be like that! I was an INTJ once, but I sort of grew out of the I into the E (not saying I is immature). just as I grew I became more out there. As long as it's not harmful to me I will say whatever about me I want to say. and it's nothing that'll turn anyone *off* so I have nothing to hide in particular. Plus we change constantly and I could be a totally different person tomorrow. of course we should all keep our secrets if you know what I mean!"
469,Extravert,"When you get excited when you'll have people over, or when you're going to someone's house, even if it's just a birthday party- you like pretty much any social atmosphere. in the right quantities of course~"
470,Extravert,You sometimes miss going to school like on vacation because of friends/people you interact with.
471,Extravert,"When you have absolutely no problem with- when you LOVE performing on stage in front of people. Ahh it's so rejuvenating, I can't even describe it. it's not pride, but just the feeling of performing.. is great."
472,Extravert,Most of the comments on this thread are completely typist stereotypes.
473,Extravert,You know you're an extrovert when your dominant function is extroverted.
474,Extravert,Most of the comments on this thread are completely typist stereotypes.
475,Extravert,You know you're an extrovert when your dominant function is extroverted.
476,Extravert,"You find yourself blowing off responsibilities with any excuse to go out, even if you know the event you're going to is something you aren't interested in."
477,Extravert,Most of the comments on this thread are completely typist stereotypes.
478,Extravert,"When you're having so much fun that you can't help getting loud and energetic and drawing everyone's attention, even though you also have awful social anxiety."
479,Extravert,"My poor anxiety's trying so hard not to draw any attention and just to fade into the background, but the extroversion is all like ""HEY GUYS HEY LOOK AT ME LOOK WHAT I CAN DO,"" and then the anxiety realizes it has no idea what it was gonna do, and it's like ""oh great and now everyone's looking at me,"" and the extroversion is like ""WHO CARES AT LEAST EVERYONE'S LOOKING AT ME """
480,Extravert,"Also, sometimes I get jealous when other people get attention. Like, someone will go ""Aww, look what Winnie's doing!"" (Winnie is my puppy,) and in my head I'll be like ""What no that's not fair guys look at ME look what I'M doing!!"" But maybe I'm just an attention hog..."
481,Extravert,"When you're having so much fun that you can't help getting loud and energetic and drawing everyone's attention, even though you also have awful social anxiety."
482,Extravert,"My poor anxiety's trying so hard not to draw any attention and just to fade into the background, but the extroversion is all like ""HEY GUYS HEY LOOK AT ME LOOK WHAT I CAN DO,"" and then the anxiety realizes it has no idea what it was gonna do, and it's like ""oh great and now everyone's looking at me,"" and the extroversion is like ""WHO CARES AT LEAST EVERYONE'S LOOKING AT ME """
483,Extravert,"When you're having so much fun that you can't help getting loud and energetic and drawing everyone's attention, even though you also have awful social anxiety."
484,Extravert,"My poor anxiety's trying so hard not to draw any attention and just to fade into the background, but the extroversion is all like ""HEY GUYS HEY LOOK AT ME LOOK WHAT I CAN DO,"" and then the anxiety realizes it has no idea what it was gonna do, and it's like ""oh great and now everyone's looking at me,"" and the extroversion is like ""WHO CARES AT LEAST EVERYONE'S LOOKING AT ME """
485,Extravert,"....you don't write about the things that make an extrovert, but DO them "
486,Extravert,You know you're an Introvert when... - 94 pages
487,Extravert,You know you're an Extrovert when... - 8 pages :crazy:
488,Extravert,When you care if your personality type has the potential to cause you to be popular.
489,Extravert,"....you don't write about the things that make an extrovert, but DO them "
490,Extravert,You know you're an Introvert when... - 94 pages
491,Extravert,Most of the comments on this thread are completely typist stereotypes.
492,Extravert,I knew I was an extrovert because I always end up talking to myself when I'm alone at home. roud:
493,Extravert,"When I'm alone, I go on every kind of instant messaging service possible and start texting people. "
494,Extravert,"If all of the above fail, I do whatever I can to keep myself busy. (Resisting strong urge to end this with ""#extrovertproblems"". I don't even own a twitter, but god those hash tags are addicting)"
495,Extravert,You talk to inanimate objects and animals when you're alone
496,Extravert,Everyone does this ... right?
497,Extravert,"I would never do such a thing to placate any urges to be social. Maybe to work through a thought, or having a debate with one of my cats about social welfare programs, but that's it really. Most of the time I'm silent."
498,Extravert,You pace the floors and talk to yourself like a damn CRAZY PERSON when you're alone. (Don't act like you don't do it)
499,Extravert,when you often speak without thinking.
500,Extravert,When you're not in this thread because your out in the real world while a good deal of introverts post in here.
501,Extravert,(I know there are posts by extroverts here as well but skimming though this I saw a lot of I's)
502,Extravert,Whenever you get togetherw for lunch with 4 of your coworkers and you lead/dominate the conversation - every time.
503,Extravert,When you get infuriated in group projects because nobody is taking charge as well as you could...
504,Extravert,When you get slightly ticked off that the Introverts have 90+ pages.
505,Extravert,Well no that's no really extroverted haha.
506,Extravert,"When you're angry with your friends on friday, by the time the weekend is over you somehow forget you were angry at them on monday."
507,Extravert,"- I think you know you're extroverted when you look outside yourself for understanding, comfort, stability... "
508,Extravert,- Your emotions are responses to interactions with the outside world.
509,Extravert,"- In comparison I think an introvert is someone whose understanding, comfort, stability are self-formulated (or with little to no input from a live human) and their emotions are responses to the outside world's interaction with THEM."
510,Extravert,I'm new to this so it would be cool if someone could check me on that  
511,Extravert,You're talking about life with a random stranger you met at the grocery store 5 seconds earlier!
512,Extravert,I knew I was an extrovert when...
513,Extravert,"I realized that lectures in school or college melt my mind and I'd spend the whole time looking around at people, while trying desperately not to bother them until the teacher/tutor had stopped talking and was letting us ""get back to work""."
514,Extravert,I can spend hours reading about a topic of interest... so long as I can check facebook every 5 minutes and get up take a break and relax with my family/friends.
515,Extravert,When the house is completely empty aside from me and I start getting uncomfortable and pacing the floor talking to myself and making my self laugh. (Ok so I'm just insane XD)
516,Extravert,When you can't stand staying at home during weekends. That's me right now... I need to get out of the house!
517,Extravert,You Know You're An Extrovert When You Can See How lnaccurately lntroverts Describe Extroverts ln This Thread.
518,Extravert,You Know You're An Asshole When Descriptions Made By Other Extroverts ln This Thread Make You Want To Cut Ties With Humanity.
519,Extravert,You pace the floors and talk to yourself like a damn CRAZY PERSON when you're alone. (Don't act like you don't do it)
520,Extravert,"Oh my gosh, yes! Have you been spying on me? Do you live in my closet? :tongue:"
521,Extravert,"When going on your fourth day of summer vacation and the only interaction you had was with your family and over texting with your friends, but it's not enough to keep the slowly building anxiety away."
522,Extravert,"Me right now! It feels like I'm trapped, in a way."
523,Extravert,"TV and music helps, but nothing compares to hanging out with your friends for hours (or even days)."
524,Extravert,When you can't stand staying at home during weekends. That's me right now... I need to get out of the house!
525,Extravert,"When you need to have social things scheduled for the future, because the idea of possibly having nothing to look forward to is horrible."
526,Extravert,"When you start to slowly lose your mind when going for long stretches without having a whole lot of interaction, because all your ideas are bottled up inside and you can't express them or bounce them off anybody."
527,Extravert,when you sometimes don't know how loud you talk at times.
528,Extravert,"When you're having so much fun that you can't help getting loud and energetic and drawing everyone's attention, even though you also have awful social anxiety."
529,Extravert,"My poor anxiety's trying so hard not to draw any attention and just to fade into the background, but the extroversion is all like ""HEY GUYS HEY LOOK AT ME LOOK WHAT I CAN DO,"" and then the anxiety realizes it has no idea what it was gonna do, and it's like ""oh great and now everyone's looking at me,"" and the extroversion is like ""WHO CARES AT LEAST EVERYONE'S LOOKING AT ME """
530,Extravert,When I talk in my usual tone in a quiet public place and the introverts have to shush me then I'll try whispering but it is still loud. ARGH.
531,Extravert,You pace the floors and talk to yourself like a damn CRAZY PERSON when you're alone. (Don't act like you don't do it)
532,Extravert,"Isn't it kind of funny then, that most INTJ's love ENTPs. In fact, it's considered an ideal match... I guess you like people who know how to use their mouths..."
533,Extravert,When you were separated from the rest of your classmates due to your inability to shut up. All the way until 7th grade.
534,Extravert,"You know you're an extrovert when you talk to your pets, yourself, and inanimate objects if you happen to be home alone."
535,Extravert,You know you're an extrovert when you absolutely have to meet every new person in a room and start to feel like you're a bad person if you missed someone.
536,Extravert,When your introverted friends gawk at the amount of energy you put out in a social interaction....my goodness.
537,Extravert,You Know You're An Extrovert When You Can See How lnaccurately lntroverts Describe Extroverts ln This Thread.
538,Extravert,When it's hard for you to shut up your mouth.
539,Extravert,"You know you're an extrovert when you talk to your pets, yourself, and inanimate objects if you happen to be home alone."
540,Extravert,"When your introversion is verbal, directed in first person and funny."
541,Extravert,When thoughts materialize as you speak.
542,Extravert,When you feel ignored when not talked to and asked for your valuable input.
543,Extravert,Being an E--P is so much fun but draining and intimidating to others.
544,Extravert,When it's hard to fall asleep cause the voice in your head won't stop bickering. Hahaha!
545,Extravert,"When you're happy your not alone trolling the forums, there's other people posting simultaneously!"
546,Extravert,When you're at a party and your introverted friends are too awkward to have fun with...so you wind up dancing with strangers. 
547,Extravert,When watching TV alone in your room for too long gets so boring and start wanting to be around people or engaging in ideas... (I tell this to my 99%-introvert-friend group who meet that fact with shock with each time)
548,Extravert,When entering a room full of strangers makes you excited
549,Extravert,"You know you're an extrovert, when you're offended by all the articles on MBTI facebook, about what you shouldn't say to introverts, and articles on how introverts can succeed in the workplace with noisy extrovert coworkers, and relationships and the introvert, and the article on the INFP, INTP,INFJ, and hardly any on ESTP, ENFP, ESFP,ENTP,ESTJ, etc, etc.."
550,Extravert,https://www.facebook.com/thembti
551,Extravert,Just unfair in my opinion...
552,Extravert,When you realize something in your head and you say it out loud and all of a sudden you REALLY realize it.
553,Extravert,"You know you're an extrovert when you speak before you think, when you're out with people you can feel the adrenaline build up in you and the only way to release it is by talking and telling people tall tales."
554,Extravert,You really can't enjoy the silence.
555,Extravert,You really can't enjoy the silence.
